,project_id,object_id,object_type,buffer_count,stock_count
0,4,0,GEN,0.21871345029239767,0.0
1,4,1,GEN,0.24179829890643986,0.0
2,4,2,GEN,0.2441430332922318,0.0
3,4,3,GEN,0.21754385964912282,0.0
4,4,4,GEN,2.1635802469135803,0.0
5,4,5,GEN,2.22972972972973,0.0
6,4,6,GEN,2.260115606936416,0.0
7,4,7,TRACK,0.3313253012048193,0.0
8,4,8,TRACK,0.4711168164313222,0.0
9,4,9,TRACK,0.370712401055409,0.0
10,4,10,TRACK,0.36671177266576455,0.0
11,4,11,TRACK,0.3301204819277108,0.0
12,4,12,TRACK,0.4723294723294723,0.0
13,4,13,TRACK,1.6538461538461537,0.0
14,4,14,TRACK,0.22950819672131148,0.0
15,4,15,TRACK,0.24644549763033174,0.0
16,4,16,TRACK,0.26912181303116145,0.0
17,4,17,TRACK,0.209009009009009,0.0
18,4,18,TRACK,1.4049586776859504,0.0
19,4,19,TRACK,1.7037861915367483,0.0
20,4,20,TRACK,0.24806201550387597,0.0
21,4,21,TRACK,1.4516129032258065,0.0
22,4,22,TRACK,1.6688311688311688,0.0
23,4,23,TRACK,1.665948275862069,0.0
24,4,24,TRACK,0.12121212121212122,0.0
25,4,25,TRACK,0.12446351931330472,0.0
26,4,26,TRACK,0.12121212121212122,0.0
27,4,27,PROC,3.149812734082397,0.0
28,4,28,PROC,3.7011278195488724,0.0
29,4,29,PROC,0.4854586129753915,0.0
30,4,30,PROC,0.9071618037135278,0.0
31,4,31,PROC,3.684863523573201,0.0
32,4,32,STOCK,0.20212765957446807,13.058510638297872
33,4,33,STOCK,0.20212765957446807,13.047872340425531
34,4,34,STOCK,0.19680851063829788,13.090425531914894
